Sample.Name,Geno,Treatment 1,Treatment 2,Tank 1,Tank 2
21-01A,21,HT,H,6B-HT,7BH
21-01B,21,HT,C,6B-HT,7AC
21-02A,21,HT,H,6A-HT,6AH
21-02B,21,HL,H,7A-HL,7AH
21-03A,21,HT,H,7A-HT,7AH
21-03B,21,HL,H,6B-HL,6AH
21-04A,21,HT,C,7A-HT,7BC
21-04B,21,C,C,6B-C,6AC
21-05A,21,HT,C,6A-HT,6AC
21-06A,21,C,C,6B-C,7BC
21-06B,21,HT,H,6A-HT,7AH
21-09B,21,HL,C,7A-HL,7BC
21-21B,21,C,H,7A-C,6AH
21-23A,21,HL,C,6B-HL,6AC
21-23B,21,HL,H,6A-HL,7BH
21-27B,21,C,C,7A-C,7AC
21-29B,21,C,H,6A-C,7BH
21-35A,21,HL,C,6A-HL,7AC
21-35B,21,HL,C,7A-HL,6AC
21-37A,21,C,H,6A-C,7AH
21-39A,21,HT,C,7A-HT,7AC
21-40B,21,HL,H,6A-HL,6AH
23-01A,23,C,H,7A-C,7AH
23-01B,23,HT,C,6B-HT,7BC
23-02A,23,HL,C,7A-HL,7AC
23-02B,23,C,C,6A-C,7AC
23-03A,23,HL,H,6A-HL,7BH
23-04A,23,HL,C,7A-HL,7BC
23-04B,23,HL,C,6B-HL,6AC
23-05B,23,HL,H,6A-HL,7AH
23-09A,23,C,C,7A-C,6AC
23-09B,23,HT,H,6A-HT,6AH
23-10A,23,HL,H,6B-HL,6AH
23-13A,23,HT,H,7A-HT,7BH
23-13B,23,HT,C,7A-HT,6AC
23-19A,23,HT,C,6A-HT,7AC
23-20A,23,C,H,6B-C,6AH
23-20B,23,C,H,6B-C,7BH
23-22A,23,C,C,6A-C,7BC
23-29B,23,HT,H,6B-HT,7AH
25-01A,25,HL,C,6B-HL,7BC
25-01B,25,HL,H,7A-HL,7AH
25-02A,25,HT,C,6B-HT,6AC
25-02B,25,HT,H,7A-HT,6AH
25-03A,25,C,H,7A-C,7AH
25-03B,25,HT,C,6A-HT,7AC
25-04A,25,HL,C,6A-HL,7AC
25-10B,25,HL,H,6B-HL,7BH
25-12A,25,HT,H,7A-HT,7BH
25-12B,25,C,C,7A-C,7AC
25-13A,25,C,H,6B-C,7BH
25-13B,25,HL,C,6A-HL,6AC
25-15A,25,HL,H,6B-HL,6AH
25-16A,25,HT,H,6A-HT,7AH
25-16B,25,HT,C,6B-HT,6AC
25-17A,25,HL,C,7A-HL,7BC
25-17B,25,C,C,6B-C,7BC
25-18A,25,HT,C,6B-HT,7BC
25-19A,25,C,C,6A-C,6AC
25-1A,25,HL,H,7A-HL,7BH
25-30A,25,HT,H,7A-HT,6AH
25-30B,25,C,H,6A-C,6AH
26-01A,26,HL,C,6A-HL,7AC
26-01B,26,C,C,6B-C,7BC
26-08A,26,HL,H,6A-HL,7AH
26-08B,26,HT,C,7A-HT,6AC
26-12A,26,HT,H,6A-HT,7BH
26-13A,26,HL,C,7A-HL,6AC
26-13B,26,HT,C,6A-HT,7BC
26-19A,26,HT,H,6A-HT,7AH
26-19B,26,C,H,7A-C,6AH
26-20A,26,HL,H,6B-HL,6AH
26-20B,26,C,C,6A-C,6AC
26-21B,26,C,C,7A-C,7AC
26-23A,26,C,H,6B-C,7BH
26-23B,26,HL,H,7A-HL,7BH
26-24A,26,HL,C,6A-HL,7AC
26-27B,26,C,H,6A-C,7AH
26-28A,26,HT,C,7A-HT,7AC
26-28B,26,HT,H,6B-HT,6AH
26-29A,26,HL,H,6B-HL,7AH
26-29B,26,HT,H,6B-HT,7BH
28-01A,28,C,C,7A-C,6AC
28-01B,28,HL,H,6A-HL,6AH
28-03A,28,C,H,6B-C,6AH
28-03B,28,HL,C,7A-HL,7BC
28-04A,28,HT,C,7A-HT,7AC
28-04B,28,HT,H,6B-HT,6AH
28-08A,28,HL,C,6B-HL,7AC
28-08B,28,C,C,6A-C,7AC
28-12A,28,C,H,6A-C,7BH
28-14A,28,HT,H,6A-HT,7BH
28-14B,28,HT,C,7A-HT,6AC
28-24B,28,HL,H,6A-HL,7BH
28-29A,28,HL,H,6B-HL,7AH
28-29B,28,HL,H,7A-HL,6AH
28-33A,28,C,C,7A-C,7BC
28-33B,28,HL,C,6B-HL,6AC
28-41A,28,HT,C,6B-HT,7BC
28-41B,28,HT,H,6A-HT,7AH
28-47A,28,HT,H,6A-HT,7BH
28-47B,28,HT,C,6B-HT,6AC
28-50A,28,HL,H,6A-HL,7BH
28-50B,28,C,H,6B-C,7AH
29-01A,29,HT,H,7A-HT,6AH
29-01B,29,HL,C,6A-HL,7BC
29-02A,29,HL,H,6B-HL,7AH
29-02B,29,HT,C,6B-HT,7AC
29-08A,29,HL,C,7A-HL,7AC
29-08B,29,HL,H,6B-HL,6AH
29-10A,29,HT,H,6B-HT,7AH
29-12A,29,HT,H,7A-HT,7BH
29-14A,29,HT,C,6A-HT,7BC
29-14B,29,C,C,7A-C,6AC
29-16B,29,HL,C,7A-HL,6AC
29-17A,29,HL,H,6A-HL,7BH
29-17B,29,HT,C,6A-HT,7BC
29-20A,29,HL,H,7A-HL,7AH
29-20B,29,HT,C,7A-HT,6AC
29-22A,29,C,C,6B-C,7BC
29-22B,29,C,H,6A-C,6AH
29-23A,29,C,C,7A-C,7AC
29-23B,29,C,H,6B-C,7AH
29-26A,29,HL,C,6B-HL,7BC
29-26B,29,C,H,6A-C,7BH
29-28B,29,HT,C,6B-HT,7AC